,transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,year,month,day,order_value_raw
37,907,2022-09-02,06:16:00,145,Female,45,Electronics,1.0,25.0,8.5,25.0,2022,9,2,907
38,1291,2022-04-04,11:19:00,72,Male,60,Clothing,2.0,300.0,153.0,600.0,2022,4,4,1291
39,1907,2022-11-17,11:21:00,115,Female,45,Electronics,1.0,25.0,9.0,25.0,2022,11,17,1907
40,860,2022-04-11,08:58:00,85,Male,63,Clothing,4.0,50.0,16.0,200.0,2022,4,11,860
41,1860,2022-03-12,11:21:00,57,Male,63,Clothing,4.0,50.0,18.0,200.0,2022,3,12,1860
42,184,2022-02-13,06:44:00,128,Male,31,Electronics,4.0,50.0,17.0,200.0,2022,2,13,184
43,734,2022-03-12,08:54:00,77,Female,27,Clothing,1.0,30.0,15.6,30.0,2022,3,12,734
44,1184,2022-02-12,08:28:00,23,Male,31,Electronics,4.0,50.0,27.5,200.0,2022,2,12,1184
45,1734,2022-02-28,08:58:00,72,Female,27,Clothing,1.0,30.0,14.4,30.0,2022,2,28,1734
46,225,2022-03-05,07:37:00,85,Female,57,Beauty,4.0,25.0,12.75,100.0,2022,3,5,225
50,1679,2022-09-23,08:08:00,71,Female,18,Beauty,3.0,30.0,15.3,90.0,2022,9,23,1679
51,1746,2022-06-13,07:59:00,88,Female,33,Clothing,3.0,30.0,10.8,90.0,2022,6,13,1746
52,3,2022-06-14,07:08:00,114,Male,50,Electronics,1.0,30.0,8.1,30.0,2022,6,14,3
53,464,2022-03-06,11:13:00,24,Male,38,Electronics,2.0,300.0,75.0,600.0,2022,3,6,464
54,484,2022-03-13,07:52:00,135,Female,19,Clothing,4.0,300.0,75.0,1200.0,2022,3,13,484
55,591,2022-03-21,08:38:00,94,Male,53,Electronics,4.0,25.0,6.5,100.0,2022,3,21,591
56,1003,2022-01-26,07:59:00,80,Male,50,Electronics,1.0,30.0,15.9,30.0,2022,1,26,1003
57,1464,2022-11-13,10:06:00,80,Male,38,Electronics,2.0,300.0,126.0,600.0,2022,11,13,1464
58,1484,2022-11-23,09:29:00,22,Female,19,Clothing,4.0,300.0,147.0,1200.0,2022,11,23,1484
59,1591,2022-09-29,11:00:00,62,Male,53,Electronics,4.0,25.0,7.0,100.0,2022,9,29,1591
60,21,2022-07-11,07:33:00,59,Female,50,Beauty,1.0,500.0,275.0,500.0,2022,7,11,21
61,708,2022-04-06,08:38:00,62,Female,43,Beauty,3.0,300.0,87.0,900.0,2022,4,6,708
62,713,2022-04-16,11:43:00,39,Male,34,Beauty,3.0,25.0,11.25,75.0,2022,4,16,713
63,768,2022-06-27,06:50:00,58,Female,24,Beauty,3.0,25.0,10.5,75.0,2022,6,27,768
64,1021,2022-06-11,10:19:00,44,Female,50,Beauty,1.0,500.0,155.0,500.0,2022,6,11,1021
65,1708,2022-02-08,07:47:00,41,Female,43,Beauty,3.0,300.0,162.0,900.0,2022,2,8,1708
66,1713,2022-10-03,10:10:00,90,Male,34,Beauty,3.0,25.0,10.75,75.0,2022,10,3,1713
67,1768,2022-07-31,09:52:00,85,Female,24,Beauty,3.0,25.0,8.75,75.0,2022,7,31,1768
68,499,2022-04-03,10:52:00,15,Male,46,Beauty,2.0,30.0,16.5,60.0,2022,4,3,499
69,697,2022-12-25,07:52:00,152,Male,53,Clothing,1.0,500.0,200.0,500.0,2022,12,25,697
70,831,2022-11-30,11:49:00,149,Male,27,Electronics,4.0,25.0,13.75,100.0,2022,11,30,831
71,1499,2022-09-23,09:46:00,3,Male,46,Beauty,2.0,30.0,11.7,60.0,2022,9,23,1499
72,1697,2022-12-18,08:22:00,54,Male,53,Clothing,1.0,500.0,265.0,500.0,2022,12,18,1697
73,1831,2022-03-26,10:54:00,80,Male,27,Electronics,4.0,25.0,6.5,100.0,2022,3,26,1831
74,15,2022-07-01,11:50:00,75,Female,42,Electronics,4.0,500.0,210.0,2000.0,2022,7,1,15
75,743,2022-08-07,07:54:00,55,Female,34,Beauty,4.0,500.0,260.0,2000.0,2022,8,7,743
76,1015,2022-03-09,11:53:00,94,Female,42,Electronics,4.0,500.0,200.0,2000.0,2022,3,9,1015
77,1743,2022-10-26,09:37:00,47,Female,34,Beauty,4.0,500.0,250.0,2000.0,2022,10,26,1743
78,14,2022-05-18,07:11:00,8,Male,64,Clothing,4.0,30.0,13.2,120.0,2022,5,18,14
79,103,2022-11-12,10:05:00,33,Female,59,Clothing,1.0,25.0,10.75,25.0,2022,11,12,103
80,238,2022-05-10,11:52:00,20,Female,39,Beauty,1.0,500.0,150.0,500.0,2022,5,10,238
81,986,2022-08-01,09:35:00,65,Female,49,Clothing,2.0,500.0,200.0,1000.0,2022,8,1,986
82,1014,2022-02-04,10:26:00,147,Male,64,Clothing,4.0,30.0,11.4,120.0,2022,2,4,1014
83,1103,2022-02-14,07:11:00,61,Female,59,Clothing,1.0,25.0,6.75,25.0,2022,2,14,1103
84,1238,2022-09-17,07:38:00,129,Female,39,Beauty,1.0,500.0,165.0,500.0,2022,9,17,1238
85,1986,2022-09-14,08:28:00,29,Female,49,Clothing,2.0,500.0,145.0,1000.0,2022,9,14,1986
86,438,2022-08-31,10:15:00,88,Female,42,Clothing,1.0,30.0,15.9,30.0,2022,8,31,438
87,1438,2022-01-07,10:00:00,72,Female,42,Clothing,1.0,30.0,13.8,30.0,2022,1,7,1438
88,475,2022-08-12,10:39:00,78,Male,26,Clothing,3.0,25.0,9.0,75.0,2022,8,12,475
89,505,2022-12-17,07:25:00,86,Male,24,Beauty,1.0,50.0,19.5,50.0,2022,12,17,505
90,1475,2022-10-04,07:03:00,132,Male,26,Clothing,3.0,25.0,10.75,75.0,2022,10,4,1475
91,1505,2022-10-30,08:00:00,98,Male,24,Beauty,1.0,50.0,14.5,50.0,2022,10,30,1505
92,344,2022-07-17,09:47:00,69,Female,42,Beauty,1.0,30.0,7.5,30.0,2022,7,17,344
93,448,2022-03-19,09:36:00,86,Female,54,Beauty,2.0,30.0,16.2,60.0,2022,3,19,448
94,742,2022-03-19,06:08:00,37,Female,38,Electronics,4.0,500.0,195.0,2000.0,2022,3,19,742
95,1344,2022-12-18,06:12:00,144,Female,42,Beauty,1.0,30.0,11.1,30.0,2022,12,18,1344
96,1448,2022-05-16,06:28:00,51,Female,54,Beauty,2.0,30.0,9.3,60.0,2022,5,16,1448
97,1742,2022-11-22,08:25:00,18,Female,38,Electronics,4.0,500.0,220.0,2000.0,2022,11,22,1742
98,445,2022-04-14,10:48:00,132,Female,53,Electronics,1.0,300.0,138.0,300.0,2022,4,14,445
99,787,2022-06-10,10:42:00,25,Male,41,Electronics,1.0,25.0,13.75,25.0,2022,6,10,787
100,1445,2022-04-19,06:16:00,31,Female,53,Electronics,1.0,300.0,129.0,300.0,2022,4,19,1445
101,1787,2022-05-30,07:42:00,104,Male,41,Electronics,1.0,25.0,10.0,25.0,2022,5,30,1787
102,49,2022-09-17,10:33:00,37,Female,54,Electronics,2.0,500.0,255.0,1000.0,2022,9,17,49
103,420,2022-01-02,10:53:00,28,Female,22,Clothing,4.0,500.0,200.0,2000.0,2022,1,2,420
104,519,2022-04-08,10:17:00,52,Female,36,Electronics,4.0,30.0,16.5,120.0,2022,4,8,519
105,1049,2022-05-16,06:36:00,143,Female,54,Electronics,2.0,500.0,125.0,1000.0,2022,5,16,1049
106,1420,2022-04-15,07:01:00,138,Female,22,Clothing,4.0,500.0,205.0,2000.0,2022,4,15,1420
107,1519,2022-01-08,07:35:00,139,Female,36,Electronics,4.0,30.0,9.3,120.0,2022,1,8,1519
108,64,2022-11-15,06:34:00,7,Male,49,Clothing,4.0,25.0,8.5,100.0,2022,11,15,64
109,592,2022-12-26,09:15:00,77,Female,46,Beauty,4.0,500.0,275.0,2000.0,2022,12,26,592
110,912,2022-10-31,06:18:00,122,Male,51,Beauty,3.0,50.0,20.5,150.0,2022,10,31,912
111,1064,2022-04-14,10:38:00,49,Male,49,Clothing,4.0,25.0,13.75,100.0,2022,4,14,1064
112,1592,2022-03-16,09:08:00,81,Female,46,Beauty,4.0,500.0,155.0,2000.0,2022,3,16,1592
113,1912,2022-05-27,07:40:00,146,Male,51,Beauty,3.0,50.0,22.0,150.0,2022,5,27,1912
114,134,2022-08-25,09:03:00,132,Male,49,Electronics,1.0,50.0,16.0,50.0,2022,8,25,134
115,1134,2022-08-05,09:04:00,106,Male,49,Electronics,1.0,50.0,24.0,50.0,2022,8,5,1134
116,288,2022-05-02,09:59:00,27,Male,28,Clothing,4.0,30.0,12.0,120.0,2022,5,2,288
117,323,2022-01-21,08:22:00,97,Female,29,Beauty,3.0,300.0,150.0,900.0,2022,1,21,323
118,618,2022-10-13,10:22:00,5,Female,27,Beauty,1.0,50.0,26.0,50.0,2022,10,13,618
119,720,2022-04-08,08:50:00,116,Female,56,Beauty,3.0,500.0,235.0,1500.0,2022,4,8,720
120,1288,2022-04-05,11:56:00,26,Male,28,Clothing,4.0,30.0,9.0,120.0,2022,4,5,1288
121,1323,2022-08-15,10:49:00,136,Female,29,Beauty,3.0,300.0,114.0,900.0,2022,8,15,1323
122,1618,2022-09-15,06:27:00,118,Female,27,Beauty,1.0,50.0,13.5,50.0,2022,9,15,1618
123,1720,2022-10-10,08:51:00,28,Female,56,Beauty,3.0,500.0,190.0,1500.0,2022,10,10,1720
124,415,2022-01-05,09:59:00,85,Male,53,Clothing,2.0,30.0,8.1,60.0,2022,1,5,415
125,736,2022-12-18,08:30:00,97,Male,29,Clothing,4.0,25.0,9.75,100.0,2022,12,18,736
126,929,2022-03-11,10:18:00,40,Female,23,Beauty,3.0,25.0,10.5,75.0,2022,3,11,929
127,1415,2022-03-06,07:11:00,146,Male,53,Clothing,2.0,30.0,15.3,60.0,2022,3,6,1415
128,1736,2022-08-28,08:57:00,87,Male,29,Clothing,4.0,25.0,10.25,100.0,2022,8,28,1736
129,1929,2022-09-15,06:50:00,62,Female,23,Beauty,3.0,25.0,12.75,75.0,2022,9,15,1929
130,264,2022-12-26,11:03:00,111,Male,47,Clothing,3.0,300.0,150.0,900.0,2022,12,26,264
131,913,2022-10-12,10:52:00,78,Male,29,Electronics,3.0,30.0,16.5,90.0,2022,10,12,913
132,940,2022-01-05,08:11:00,46,Female,20,Electronics,1.0,30.0,9.6,30.0,2022,1,5,940
133,1264,2022-05-27,09:23:00,82,Male,47,Clothing,3.0,300.0,123.0,900.0,2022,5,27,1264
134,1913,2022-06-23,07:10:00,101,Male,29,Electronics,3.0,30.0,14.1,90.0,2022,6,23,1913
135,1940,2022-06-15,09:47:00,56,Female,20,Electronics,1.0,30.0,11.1,30.0,2022,6,15,1940
136,101,2022-01-08,08:46:00,24,Male,32,Clothing,2.0,300.0,135.0,600.0,2022,1,8,101
137,1101,2022-05-17,07:47:00,15,Male,32,Clothing,2.0,300.0,132.0,600.0,2022,5,17,1101
138,189,2022-01-02,09:44:00,143,Male,63,Beauty,1.0,50.0,14.5,50.0,2022,1,2,189
139,317,2022-05-04,07:54:00,117,Male,22,Electronics,3.0,30.0,12.0,90.0,2022,5,4,317
140,322,2022-10-19,06:11:00,13,Male,51,Electronics,1.0,500.0,125.0,500.0,2022,10,19,322
141,329,2022-10-27,07:42:00,52,Female,46,Electronics,4.0,25.0,8.0,100.0,2022,10,27,329
142,1189,2022-12-07,06:08:00,104,Male,63,Beauty,1.0,50.0,20.5,50.0,2022,12,7,1189
143,1317,2022-08-25,08:02:00,144,Male,22,Electronics,3.0,30.0,12.0,90.0,2022,8,25,1317
144,1322,2022-11-14,09:56:00,10,Male,51,Electronics,1.0,500.0,250.0,500.0,2022,11,14,1322
145,1329,2022-01-27,10:39:00,119,Female,46,Electronics,4.0,25.0,9.25,100.0,2022,1,27,1329
146,235,2022-03-10,10:13:00,132,Female,23,Electronics,2.0,500.0,275.0,1000.0,2022,3,10,235
147,300,2022-01-08,09:41:00,138,Female,19,Electronics,4.0,50.0,26.5,200.0,2022,1,8,300
148,964,2022-08-26,08:18:00,15,Male,24,Clothing,3.0,300.0,156.0,900.0,2022,8,26,964
149,1235,2022-04-04,06:44:00,87,Female,23,Electronics,2.0,500.0,220.0,1000.0,2022,4,4,1235
150,1300,2022-08-08,08:57:00,7,Female,19,Electronics,4.0,50.0,24.0,200.0,2022,8,8,1300
151,1964,2022-08-02,08:27:00,115,Male,24,Clothing,3.0,300.0,111.0,900.0,2022,8,2,1964
152,269,2022-09-19,11:31:00,87,Male,25,Clothing,4.0,500.0,250.0,2000.0,2022,9,19,269
153,320,2022-04-20,08:35:00,57,Female,28,Electronics,4.0,300.0,159.0,1200.0,2022,4,20,320
154,673,2022-07-04,10:14:00,18,Female,43,Clothing,3.0,500.0,270.0,1500.0,2022,7,4,673
155,1269,2022-01-01,08:09:00,71,Male,25,Clothing,4.0,500.0,145.0,2000.0,2022,1,1,1269
156,1320,2022-11-02,11:55:00,102,Female,28,Electronics,4.0,300.0,84.0,1200.0,2022,11,2,1320
157,1673,2022-06-14,07:36:00,42,Female,43,Clothing,3.0,500.0,185.0,1500.0,2022,6,14,1673
158,142,2022-04-08,10:05:00,61,Male,35,Electronics,4.0,300.0,138.0,1200.0,2022,4,8,142
159,223,2022-01-15,11:18:00,61,Female,64,Clothing,1.0,25.0,12.0,25.0,2022,1,15,223
160,666,2022-03-03,10:59:00,49,Male,51,Electronics,3.0,50.0,16.0,150.0,2022,3,3,666
161,1142,2022-11-09,09:49:00,2,Male,35,Electronics,4.0,300.0,114.0,1200.0,2022,11,9,1142
162,1223,2022-02-20,07:40:00,106,Female,64,Clothing,1.0,25.0,9.75,25.0,2022,2,20,1223
163,1666,2022-12-08,10:10:00,125,Male,51,Electronics,3.0,50.0,21.0,150.0,2022,12,8,1666
164,107,2022-10-06,09:18:00,75,Female,21,Clothing,4.0,300.0,78.0,1200.0,2022,10,6,107
165,933,2022-09-19,07:53:00,81,Male,22,Beauty,1.0,30.0,12.9,30.0,2022,9,19,933
166,1107,2022-12-31,11:14:00,62,Female,21,Clothing,4.0,300.0,102.0,1200.0,2022,12,31,1107
167,1933,2022-01-12,11:04:00,121,Male,22,Beauty,1.0,30.0,14.4,30.0,2022,1,12,1933
168,237,2022-04-11,08:54:00,105,Female,50,Beauty,2.0,500.0,165.0,1000.0,2022,4,11,237
169,335,2022-02-02,09:23:00,2,Female,47,Beauty,4.0,30.0,10.8,120.0,2022,2,2,335
170,1237,2022-02-23,09:20:00,48,Female,50,Beauty,2.0,500.0,215.0,1000.0,2022,2,23,1237
171,1335,2022-05-27,08:45:00,117,Female,47,Beauty,4.0,30.0,8.7,120.0,2022,5,27,1335
172,63,2022-02-03,11:49:00,127,Male,57,Electronics,2.0,25.0,6.25,50.0,2022,2,3,63
173,195,2022-08-14,11:51:00,10,Male,52,Clothing,1.0,30.0,9.3,30.0,2022,8,14,195
174,333,2022-10-06,08:15:00,21,Female,54,Electronics,4.0,300.0,99.0,1200.0,2022,10,6,333
175,379,2022-06-01,07:28:00,76,Female,47,Clothing,1.0,25.0,8.5,25.0,2022,6,1,379
176,490,2022-01-27,06:07:00,43,Male,34,Clothing,3.0,50.0,18.5,150.0,2022,1,27,490
177,530,2022-05-01,07:52:00,8,Female,18,Electronics,4.0,30.0,9.0,120.0,2022,5,1,530
178,740,2022-12-01,06:58:00,33,Female,25,Beauty,4.0,50.0,13.0,200.0,2022,12,1,740
179,793,2022-05-27,10:53:00,1,Male,54,Beauty,1.0,30.0,14.7,30.0,2022,5,27,793
180,1063,2022-08-04,10:26:00,56,Male,57,Electronics,2.0,25.0,11.0,50.0,2022,8,4,1063
181,1195,2022-09-21,07:07:00,55,Male,52,Clothing,1.0,30.0,12.0,30.0,2022,9,21,1195
182,1333,2022-11-01,11:38:00,151,Female,54,Electronics,4.0,300.0,165.0,1200.0,2022,11,1,1333
183,1379,2022-01-02,06:23:00,69,Female,47,Clothing,1.0,25.0,7.25,25.0,2022,1,2,1379
184,1490,2022-10-26,07:15:00,155,Male,34,Clothing,3.0,50.0,17.0,150.0,2022,10,26,1490
185,1530,2022-12-10,08:17:00,93,Female,18,Electronics,4.0,30.0,12.3,120.0,2022,12,10,1530
186,1740,2022-07-16,06:01:00,66,Female,25,Beauty,4.0,50.0,27.0,200.0,2022,7,16,1740
187,1793,2022-12-11,06:05:00,88,Male,54,Beauty,1.0,30.0,10.8,30.0,2022,12,11,1793
188,85,2022-09-03,08:05:00,68,Male,31,Clothing,3.0,50.0,19.0,150.0,2022,9,3,85
189,232,2022-08-12,07:14:00,150,Female,43,Beauty,1.0,25.0,12.75,25.0,2022,8,12,232
190,240,2022-11-05,11:49:00,95,Female,23,Beauty,1.0,300.0,123.0,300.0,2022,11,5,240
191,993,2022-09-07,09:21:00,134,Female,48,Electronics,3.0,50.0,17.0,150.0,2022,9,7,993
192,1085,2022-08-12,09:29:00,76,Male,31,Clothing,3.0,50.0,17.0,150.0,2022,8,12,1085
193,1232,2022-05-23,08:05:00,146,Female,43,Beauty,1.0,25.0,6.25,25.0,2022,5,23,1232
194,1240,2022-08-07,07:42:00,144,Female,23,Beauty,1.0,300.0,90.0,300.0,2022,8,7,1240
195,1993,2022-12-29,11:53:00,123,Female,48,Electronics,3.0,50.0,26.5,150.0,2022,12,29,1993
196,366,2022-10-29,09:32:00,116,Male,57,Clothing,2.0,50.0,17.5,100.0,2022,10,29,366
197,372,2022-06-19,11:45:00,27,Female,24,Beauty,3.0,500.0,140.0,1500.0,2022,6,19,372
198,596,2022-02-12,08:44:00,87,Female,64,Electronics,1.0,300.0,93.0,300.0,2022,2,12,596
199,936,2022-01-05,10:51:00,143,Male,57,Beauty,4.0,50.0,19.5,200.0,2022,1,5,936
200,1366,2022-01-01,11:34:00,25,Male,57,Clothing,2.0,50.0,23.5,100.0,2022,1,1,1366
201,1372,2022-03-18,10:53:00,60,Female,24,Beauty,3.0,500.0,145.0,1500.0,2022,3,18,1372
202,1596,2022-03-28,06:22:00,7,Female,64,Electronics,1.0,300.0,141.0,300.0,2022,3,28,1596
203,1936,2022-06-19,11:32:00,60,Male,57,Beauty,4.0,50.0,12.5,200.0,2022,6,19,1936
204,284,2022-11-12,09:17:00,129,Male,43,Clothing,4.0,50.0,20.5,200.0,2022,11,12,284
205,434,2022-10-26,06:09:00,50,Female,43,Electronics,2.0,25.0,8.25,50.0,2022,10,26,434
206,775,2022-05-06,11:07:00,98,Female,46,Electronics,4.0,25.0,9.5,100.0,2022,5,6,775
207,977,2022-07-26,08:35:00,46,Female,35,Electronics,3.0,25.0,13.75,75.0,2022,7,26,977
208,1284,2022-12-16,11:43:00,145,Male,43,Clothing,4.0,50.0,18.0,200.0,2022,12,16,1284
209,1434,2022-02-04,10:02:00,147,Female,43,Electronics,2.0,25.0,7.0,50.0,2022,2,4,1434
210,1775,2022-12-18,08:04:00,78,Female,46,Electronics,4.0,25.0,13.75,100.0,2022,12,18,1775
211,1977,2022-08-05,10:46:00,63,Female,35,Electronics,3.0,25.0,12.0,75.0,2022,8,5,1977
212,649,2022-06-21,08:17:00,44,Female,58,Clothing,2.0,300.0,135.0,600.0,2022,6,21,649
213,1649,2022-10-21,07:44:00,72,Female,58,Clothing,2.0,300.0,75.0,600.0,2022,10,21,1649
214,54,2022-10-20,10:17:00,142,Female,38,Electronics,3.0,500.0,200.0,1500.0,2022,10,20,54
215,68,2022-12-15,09:06:00,146,Male,25,Electronics,1.0,300.0,84.0,300.0,2022,12,15,68
216,192,2022-11-08,08:05:00,134,Male,62,Beauty,2.0,50.0,13.0,100.0,2022,11,8,192
217,1054,2022-01-10,09:24:00,49,Female,38,Electronics,3.0,500.0,140.0,1500.0,2022,1,10,1054
218,1068,2022-09-14,10:11:00,136,Male,25,Electronics,1.0,300.0,111.0,300.0,2022,9,14,1068
219,1192,2022-03-29,08:41:00,37,Male,62,Beauty,2.0,50.0,20.5,100.0,2022,3,29,1192
220,331,2022-08-16,08:33:00,28,Male,28,Electronics,3.0,30.0,10.2,90.0,2022,8,16,331
221,346,2022-09-05,06:54:00,38,Male,59,Clothing,2.0,500.0,215.0,1000.0,2022,9,5,346
222,657,2022-01-29,08:53:00,46,Male,40,Clothing,1.0,25.0,8.0,25.0,2022,1,29,657
223,732,2022-10-13,08:45:00,136,Male,61,Electronics,2.0,500.0,250.0,1000.0,2022,10,13,732
224,972,2022-08-16,11:42:00,139,Male,49,Beauty,4.0,25.0,6.75,100.0,2022,8,16,972
225,1331,2022-05-15,09:29:00,36,Male,28,Electronics,3.0,30.0,13.8,90.0,2022,5,15,1331
226,1346,2022-04-10,10:01:00,112,Male,59,Clothing,2.0,500.0,130.0,1000.0,2022,4,10,1346
227,1657,2022-08-09,10:05:00,61,Male,40,Clothing,1.0,25.0,8.0,25.0,2022,8,9,1657
228,1732,2022-02-25,07:05:00,55,Male,61,Electronics,2.0,500.0,215.0,1000.0,2022,2,25,1732
229,1972,2022-12-21,06:39:00,5,Male,49,Beauty,4.0,25.0,9.25,100.0,2022,12,21,1972
230,714,2022-10-29,08:50:00,20,Female,18,Clothing,1.0,500.0,190.0,500.0,2022,10,29,714
231,1714,2022-11-23,06:07:00,111,Female,18,Clothing,1.0,500.0,245.0,500.0,2022,11,23,1714
232,193,2022-03-27,10:40:00,55,Male,35,Beauty,3.0,500.0,180.0,1500.0,2022,3,27,193
233,577,2022-04-21,11:55:00,45,Male,21,Beauty,4.0,500.0,215.0,2000.0,2022,4,21,577
234,848,2022-01-24,10:46:00,15,Female,63,Clothing,3.0,25.0,9.75,75.0,2022,1,24,848
235,945,2022-10-01,10:01:00,120,Male,30,Beauty,1.0,25.0,13.25,25.0,2022,10,1,945
236,1193,2022-05-11,11:31:00,50,Male,35,Beauty,3.0,500.0,145.0,1500.0,2022,5,11,1193
237,1577,2022-09-11,06:22:00,145,Male,21,Beauty,4.0,500.0,160.0,2000.0,2022,9,11,1577
238,1848,2022-12-27,10:16:00,63,Female,63,Clothing,3.0,25.0,12.5,75.0,2022,12,27,1848
239,1945,2022-04-19,09:55:00,33,Male,30,Beauty,1.0,25.0,10.75,25.0,2022,4,19,1945
240,11,2022-02-27,10:30:00,151,Male,23,Clothing,2.0,50.0,23.5,100.0,2022,2,27,11
241,821,2022-11-23,11:27:00,40,Male,49,Electronics,1.0,300.0,129.0,300.0,2022,11,23,821
242,1011,2022-04-01,06:48:00,15,Male,23,Clothing,2.0,50.0,19.0,100.0,2022,4,1,1011
243,1821,2022-10-03,07:17:00,42,Male,49,Electronics,1.0,300.0,108.0,300.0,2022,10,3,1821
244,133,2022-06-23,09:01:00,70,Male,20,Electronics,3.0,300.0,87.0,900.0,2022,6,23,133
245,1133,2022-03-05,06:42:00,58,Male,20,Electronics,3.0,300.0,159.0,900.0,2022,3,5,1133
246,16,2022-06-25,10:33:00,82,Male,19,Clothing,3.0,500.0,180.0,1500.0,2022,6,25,16
247,42,2022-12-08,08:29:00,63,Male,22,Clothing,3.0,300.0,147.0,900.0,2022,12,8,42
248,292,2022-10-10,06:33:00,111,Male,20,Beauty,4.0,300.0,141.0,1200.0,2022,10,10,292
249,416,2022-08-21,09:29:00,55,Male,53,Electronics,4.0,500.0,245.0,2000.0,2022,8,21,416
250,584,2022-12-31,10:21:00,106,Female,27,Beauty,4.0,50.0,16.5,200.0,2022,12,31,584
251,861,2022-09-30,08:57:00,22,Female,41,Clothing,3.0,30.0,9.6,90.0,2022,9,30,861
252,1016,2022-12-12,07:39:00,52,Male,19,Clothing,3.0,500.0,200.0,1500.0,2022,12,12,1016
253,1042,2022-02-11,06:21:00,7,Male,22,Clothing,3.0,300.0,150.0,900.0,2022,2,11,1042
254,1292,2022-05-15,08:20:00,88,Male,20,Beauty,4.0,300.0,90.0,1200.0,2022,5,15,1292
255,1416,2022-12-29,10:47:00,111,Male,53,Electronics,4.0,500.0,125.0,2000.0,2022,12,29,1416
256,1584,2022-09-03,11:07:00,62,Female,27,Beauty,4.0,50.0,16.5,200.0,2022,9,3,1584
257,1861,2022-07-04,10:41:00,145,Female,41,Clothing,3.0,30.0,10.2,90.0,2022,7,4,1861
258,256,2022-01-09,08:05:00,3,Male,23,Clothing,2.0,500.0,270.0,1000.0,2022,1,9,256
259,1256,2022-11-05,09:58:00,29,Male,23,Clothing,2.0,500.0,190.0,1000.0,2022,11,5,1256
260,44,2022-03-03,11:07:00,93,Female,22,Clothing,1.0,25.0,11.75,25.0,2022,3,3,44
261,257,2022-12-10,08:49:00,130,Male,19,Beauty,4.0,500.0,165.0,2000.0,2022,12,10,257
262,1044,2022-02-20,09:08:00,70,Female,22,Clothing,1.0,25.0,7.5,25.0,2022,2,20,1044
263,1257,2022-05-10,11:55:00,29,Male,19,Beauty,4.0,500.0,255.0,2000.0,2022,5,10,1257
